user_id,movie_id,rating,timestamp
1,46,4.0,876893230
1,39,4.0,875072173
1,189,3.0,888732928
1,212,4.0,875072895
1,260,1.0,875071713
1,105,2.0,875240739
1,182,4.0,875072520
1,137,5.0,875071541
1,121,4.0,875071823
1,209,4.0,888732908
1,92,3.0,876892425
1,101,2.0,878542845
1,18,4.0,887432020
1,194,4.0,876892743
1,227,4.0,876892946
1,51,4.0,878543275
1,174,5.0,875073198
1,114,5.0,875072173
1,102,2.0,889751736
1,228,5.0,878543541
1,157,4.0,876892918
1,249,4.0,874965970
1,265,4.0,878542441
1,43,4.0,878542869
1,70,3.0,875072895
1,267,4.0,875692955
1,183,5.0,875072262
1,99,3.0,875072547
1,83,3.0,875072370
1,253,5.0,874965970
1,89,5.0,875072484
1,150,5.0,876892196
1,200,3.0,876893098
1,168,5.0,874965478
1,237,2.0,875071749
1,71,3.0,876892425
1,65,4.0,875072125
1,118,3.0,875071927
1,67,3.0,876893054
1,247,1.0,875241619
1,235,5.0,875071589
1,263,1.0,875693007
1,165,5.0,874965518
1,119,5.0,876893098
1,161,4.0,875072303
1,90,4.0,878542300
1,64,5.0,875072404
1,98,4.0,875072404
1,53,3.0,876893206
1,10,3.0,875693118
1,223,5.0,876892918
1,261,1.0,875692992
1,58,4.0,878542960
1,135,4.0,875072404
1,142,2.0,878543238
1,94,2.0,875072956
1,111,5.0,889751711
1,109,5.0,874965739
1,219,1.0,878542327
1,61,4.0,878542420
1,204,5.0,875072688
1,192,4.0,875072547
1,22,4.0,875072404
1,108,5.0,875240920
1,231,1.0,876893031
1,144,4.0,875073180
1,76,4.0,878543176
1,54,3.0,878543308
1,206,4.0,876893205
1,80,4.0,876893008
1,56,4.0,875072716
1,2,3.0,876893171
1,4,3.0,876893119
1,127,5.0,874965706
1,95,4.0,875072303
1,197,5.0,875072956
1,73,3.0,876892774
1,146,4.0,875071561
1,134,4.0,875073067
1,100,5.0,878543541
1,47,4.0,875072125
1,93,5.0,875071484
1,123,4.0,875071541
1,185,4.0,875072631
1,160,4.0,875072547
1,72,4.0,878542678
1,251,4.0,875071843
1,42,5.0,876892425
1,87,5.0,878543541
1,152,5.0,878542589
1,132,4.0,878542889
1,156,4.0,874965556
1,103,1.0,878542845
1,155,2.0,878542201
1,230,4.0,878542420
1,266,1.0,885345728
1,167,2.0,878542383
1,1,5.0,874965758
1,130,3.0,875072002
1,154,5.0,878543541
1,44,5.0,878543541
1,241,4.0,878543133
1,50,5.0,874965954
1,169,5.0,878543541
1,181,5.0,874965739
1,214,4.0,875072520
1,225,2.0,878542738
1,268,5.0,875692927
1,17,3.0,875073198
1,211,3.0,878541970
1,124,5.0,875071484
1,143,1.0,875072631
1,216,5.0,876892701
1,27,2.0,876892946
1,68,4.0,875072688
1,234,4.0,876892355
1,66,4.0,878543030
1,258,5.0,878873389
1,116,3.0,878542960
1,213,2.0,876892896
1,163,4.0,875072442
1,171,5.0,889751711
1,129,5.0,887431908
1,110,1.0,878542845
1,29,1.0,878542869
1,242,5.0,889751633
1,96,5.0,875072716
1,177,5.0,876892701
1,229,4.0,878542075
1,252,2.0,875240677
1,243,1.0,875241390
1,195,5.0,876892855
1,122,3.0,875241498
1,254,1.0,878541392
1,125,3.0,878542960
1,106,4.0,875241390
1,147,3.0,875240993
1,145,2.0,875073067
1,193,4.0,876892654
1,226,3.0,878543176
1,148,2.0,875240799
1,120,1.0,875241637
1,199,4.0,875072262
1,78,1.0,878543176
1,75,4.0,878543238
1,259,1.0,875692979
1,49,3.0,878542478
1,166,5.0,874965677
1,9,5.0,878543541
1,113,5.0,878542738
1,244,2.0,887431973
1,13,5.0,875071805
1,69,3.0,875072262
